Stage,Assignment,Wait Type,Time,Paragraph
Find,2,wait,42,5
Find,3,work,94,5
Find,3,wait,319,5
Find,4,work,81,5
Find,4,wait,625,5
Find,5,work,48,5
Find,5,wait,1473,5
Find,6,work,116,5
Find,6,wait,1482,5
Fixing Error,1,work,68,5
Fixing Error,1,wait,94,5
Fixing Error,2,work,43,5
Fixing Error,2,wait,843,5
Voting on Alternatives,1,work,10,5
Voting on Alternatives,1,wait,330,5
Voting on Alternatives,2,work,31,5
Voting on Alternatives,2,wait,425,5
Voting on Alternatives,3,work,24,5
Voting on Alternatives,3,wait,1260,5
Fixing Error,1,work,114,5
Fixing Error,1,wait,214,5
Fixing Error,2,work,192,5
Fixing Error,2,wait,181,5
Voting on Alternatives,1,work,13,5
Voting on Alternatives,1,wait,138,5
Voting on Alternatives,2,work,13,5
Voting on Alternatives,2,wait,243,5
Voting on Alternatives,3,work,11,5
Voting on Alternatives,3,wait,1151,5
Fixing Error,1,work,84,5
Fixing Error,1,wait,459,5
Fixing Error,2,work,80,5
Fixing Error,2,wait,760,5
Fixing Error,3,work,44,5
Fixing Error,3,wait,1113,5
Voting on Alternatives,1,work,15,5
Voting on Alternatives,1,wait,387,5
Voting on Alternatives,2,work,25,5
Voting on Alternatives,2,wait,740,5
Voting on Alternatives,3,work,13,5
Voting on Alternatives,3,wait,984,5
Find,1,work,49,6
Find,1,wait,163,6
Find,2,work,91,6
Find,2,wait,313,6
Find,3,work,81,6
Find,3,wait,418,6
Find,4,work,91,6
Find,4,wait,803,6
Find,5,work,130,6
Find,5,wait,840,6
Find,6,work,39,6
Find,6,wait,1629,6
Fixing Error,1,work,35,6
Fixing Error,1,wait,58,6
Fixing Error,2,work,52,6
Fixing Error,2,wait,86,6
Fixing Error,3,work,79,6
Fixing Error,3,wait,429,6
Fixing Error,4,work,46,6
Fixing Error,4,wait,1147,6
Fixing Error,5,work,119,6
Fixing Error,5,wait,1326,6
Voting on Alternatives,1,work,23,6
Voting on Alternatives,1,wait,215,6
Voting on Alternatives,2,work,19,6
Voting on Alternatives,2,wait,888,6
Voting on Alternatives,3,work,54,6
Voting on Alternatives,3,wait,1195,6
Voting on Alternatives,4,work,25,6
Voting on Alternatives,4,wait,1323,6
Fixing Error,1,work,93,6
Fixing Error,1,wait,469,6
Fixing Error,2,work,61,6
Fixing Error,2,wait,809,6
Voting on Alternatives,1,work,14,6
Voting on Alternatives,1,wait,369,6
Voting on Alternatives,2,work,13,6
Voting on Alternatives,2,wait,839,6
Voting on Alternatives,3,work,26,6
Voting on Alternatives,3,wait,1355,6
Voting on Alternatives,4,work,71,6
Voting on Alternatives,4,wait,1332,6
